State,City,pop,crime
ARIZONA,Oro Valley,"48,680",25
ARIZONA,Page,"7,288",40
ARIZONA,Paradise Valley,"12,440",10
ARIZONA,Parker,"3,393",12
ARIZONA,Payson,"16,845",44
ARIZONA,Peoria,"201,056",512
ARIZONA,Phoenix,"1,662,809","13,296"
ARIZONA,Pinetop-Lakeside,"4,246",51
ARIZONA,Prescott,"48,339",162
ARIZONA,Prescott Valley,"51,116",115
ARIZONA,Quartzsite,"2,382",5
ARIZONA,Queen Creek,"82,639",99
ARIZONA,Sahuarita,"37,049",34
ARIZONA,San Luis,"38,809",34
ARIZONA,Scottsdale,"245,237",374
ARIZONA,Sedona,"9,861",31
ARIZONA,Show Low,"12,341",91
ARIZONA,Sierra Vista,"44,119",96
ARIZONA,Snowflake-Taylor,"11,231",35
ARIZONA,Somerton,"14,717",26
ARIZONA,St. Johns,"3,343",21
ARIZONA,Superior,"2,621",7
ARIZONA,Surprise,"163,202",178
ARIZONA,Tempe,"191,376",900
ARIZONA,Thatcher,"5,546",4
ARIZONA,Tolleson,"7,141",72
ARIZONA,Tucson,"548,789","3,231"
ARIZONA,Wellton,"2,638",1
ARIZONA,Wickenburg,"8,343",9
ARIZONA,Willcox,"3,194",13
ARIZONA,Williams,"3,549",22
ARIZONA,Winslow,"8,362",68
ARIZONA,Yuma,"101,989",432
ARKANSAS,Alexander,"3,854",22
ARKANSAS,Alma,"6,053",27
ARKANSAS,Altus,677,0
ARKANSAS,Amity,677,3
ARKANSAS,Arkadelphia,"10,222",30
ARKANSAS,Ashdown,"4,136",18
ARKANSAS,Ash Flat,"1,189",2
ARKANSAS,Atkins,"2,893",9
ARKANSAS,Austin,"4,204",9
ARKANSAS,Bald Knob,"2,509",24
ARKANSAS,Barling,"5,366",19
ARKANSAS,Batesville,"11,623",51
ARKANSAS,Bay,"1,803",1
ARKANSAS,Beebe,"9,022",64
ARKANSAS,Bella Vista,"33,122",67
ARKANSAS,Benton,"38,408",159
ARKANSAS,Bentonville,"61,109",156
ARKANSAS,Berryville,"5,782",16
ARKANSAS,Black Rock,614,0
ARKANSAS,Blytheville,"12,354",168
ARKANSAS,Bonanza,615,0
ARKANSAS,Bono,"2,907",3
ARKANSAS,Booneville,"3,825",18
ARKANSAS,Bradford,679,2
ARKANSAS,Brinkley,"2,536",38
ARKANSAS,Brookland,"4,715",26
ARKANSAS,Bryant,"22,262",39
ARKANSAS,Bull Shoals,"1,927",4
ARKANSAS,Cabot,"27,405",97
ARKANSAS,Caddo Valley,589,6
ARKANSAS,Camden,"10,025",109
ARKANSAS,Cammack Village,746,0
ARKANSAS,Caraway,"1,086",1
ARKANSAS,Carlisle,"2,007",7
ARKANSAS,Cave City,"2,016",6
ARKANSAS,Cave Springs,"6,248",6
ARKANSAS,Cedarville,"1,451",3
ARKANSAS,Centerton,"26,233",38
ARKANSAS,Central City,466,0
ARKANSAS,Charleston,"2,724",14
ARKANSAS,Cherokee Village,"4,986",10
ARKANSAS,Cherry Valley,565,1
ARKANSAS,Clarendon,"1,442",10
ARKANSAS,Clarksville,"9,680",45
ARKANSAS,Conway,"71,417",374
ARKANSAS,Corning,"3,086",8
ARKANSAS,Cotter,963,2
ARKANSAS,Crossett,"4,507",35
ARKANSAS,Damascus,393,1
ARKANSAS,Danville,"1,988",4
ARKANSAS,Dardanelle,"4,504",18
ARKANSAS,Decatur,"1,707",11
ARKANSAS,De Queen,"5,998",13
ARKANSAS,Des Arc,"1,826",5
ARKANSAS,De Valls Bluff,496,5
ARKANSAS,DeWitt,"2,844",13
ARKANSAS,Diamond City,846,1
ARKANSAS,Diaz,"1,219",2
ARKANSAS,Dover,"1,358",3
ARKANSAS,Dumas,"3,562",41
ARKANSAS,Earle,"1,748",9
ARKANSAS,El Dorado,"16,603",219
ARKANSAS,Elkins,"3,977",13
ARKANSAS,England,"2,431",12
ARKANSAS,Etowah,238,0
ARKANSAS,Eudora,"1,566",3
ARKANSAS,Eureka Springs,"2,201",8
ARKANSAS,Fairfield Bay,"2,185",5
ARKANSAS,Farmington,"10,608",25
ARKANSAS,Fayetteville,"104,089",441
ARKANSAS,Flippin,"1,326",3
ARKANSAS,Fordyce,"3,177",25
ARKANSAS,Forrest City,"12,332",145
ARKANSAS,Fort Smith,"89,977",758
ARKANSAS,Gassville,"2,241",1
ARKANSAS,Gentry,"4,668",14
ARKANSAS,Gillett,610,0
ARKANSAS,Glenwood,"2,072",6
ARKANSAS,Goshen,"2,364",4
ARKANSAS,Gosnell,"2,680",6
ARKANSAS,Gravette,"3,813",10
ARKANSAS,Green Forest,"3,214",18
ARKANSAS,Greenland,"1,222",3
ARKANSAS,Greenwood,"9,721",21
ARKANSAS,Greers Ferry,849,1
ARKANSAS,Gurdon,"1,834",8
ARKANSAS,Guy,741,1
ARKANSAS,Hackett,868,2
ARKANSAS,Hamburg,"2,379",10
ARKANSAS,Hampton,"1,133",7
ARKANSAS,Hardy,770,2
ARKANSAS,Harrisburg,"2,206",10
ARKANSAS,Harrison,"13,524",43
ARKANSAS,Hartford,496,0
ARKANSAS,Haskell,"4,193",6
ARKANSAS,Heber Springs,"7,333",26
ARKANSAS,Helena-West Helena,"8,404",137
ARKANSAS,Higginson,905,0
ARKANSAS,Highfill,"2,739",5
ARKANSAS,Highland,"1,060",0
ARKANSAS,Hope,"8,445",60
ARKANSAS,Hot Springs,"38,001",203
ARKANSAS,Hot Springs Village,"15,861",14
ARKANSAS,Hughes,973,1
ARKANSAS,Humphrey,439,0
ARKANSAS,Jacksonville,"28,958",275
ARKANSAS,Jericho,99,0
ARKANSAS,Johnson,"3,693",11
ARKANSAS,Jonesboro,"81,256",585
ARKANSAS,Judsonia,"1,889",10
ARKANSAS,Kensett,"1,405",6
ARKANSAS,Kibler,"1,044",6
ARKANSAS,Lake City,"2,729",4
ARKANSAS,Lakeview,789,2
ARKANSAS,Lake Village,"1,866",8
ARKANSAS,Lamar,"1,768",3
ARKANSAS,Lavaca,"2,533",5
ARKANSAS,Leachville,"1,890",11
ARKANSAS,Lead Hill,286,0
ARKANSAS,Lepanto,"1,636",10
ARKANSAS,Lewisville,867,4
ARKANSAS,Lincoln,"2,378",14
ARKANSAS,Little Flock,"3,030",9
ARKANSAS,Little Rock,"204,247","3,415"
ARKANSAS,Lonoke,"4,283",36
ARKANSAS,Lowell,"12,036",31
ARKANSAS,Luxora,865,1
ARKANSAS,Magnolia,"10,650",84
ARKANSAS,Malvern,"11,155",73
ARKANSAS,Mammoth Spring,947,0
ARKANSAS,Manila,"3,724",15
ARKANSAS,Mansfield,"1,053",3
ARKANSAS,Marianna,"3,243",59
ARKANSAS,Marion,"13,619",106
ARKANSAS,Marked Tree,"2,178",9
ARKANSAS,Marmaduke,"1,248",2
ARKANSAS,Marshall,"1,310",8
ARKANSAS,Maumelle,"19,516",35
ARKANSAS,Mayflower,"2,355",15
ARKANSAS,McCrory,"1,475",6
ARKANSAS,McRae,609,0
ARKANSAS,Mena,"5,633",21
ARKANSAS,Menifee,303,0
ARKANSAS,Mineral Springs,"1,053",2
ARKANSAS,Monette,"1,633",5
ARKANSAS,Monticello,"8,095",44
ARKANSAS,Morrilton,"7,112",38
ARKANSAS,Mountain Home,"13,427",37
ARKANSAS,Mountain View,"2,953",14
ARKANSAS,Mulberry,"1,640",3
ARKANSAS,Murfreesboro,"1,499",2
ARKANSAS,Nashville,"4,010",17
ARKANSAS,Newport,"8,115",40
ARKANSAS,Norfork,476,0
ARKANSAS,North Little Rock,"64,487",761
ARKANSAS,Ola,916,0
ARKANSAS,Ozark,"3,605",24
ARKANSAS,Pangburn,498,4
ARKANSAS,Paragould,"30,814",282
ARKANSAS,Paris,"3,312",26
ARKANSAS,Parkin,780,4
ARKANSAS,Patterson,289,0
ARKANSAS,Pea Ridge,"9,480",35
ARKANSAS,Perryville,"1,412",2
ARKANSAS,Piggott,"3,509",3
ARKANSAS,Pine Bluff,"38,524",609
ARKANSAS,Pleasant Plains,350,0
ARKANSAS,Plumerville,743,2
ARKANSAS,Pocahontas,"7,668",51
ARKANSAS,Pottsville,"3,330",3
ARKANSAS,Prairie Grove,"8,572",11
ARKANSAS,Prescott,"2,986",9
ARKANSAS,Quitman,704,3
ARKANSAS,Ravenden,422,2
ARKANSAS,Redfield,"1,487",5
ARKANSAS,Rogers,"75,307",257
ARKANSAS,Rose Bud,498,2
ARKANSAS,Russellville,"29,467",103
ARKANSAS,Salem,"1,623",5
ARKANSAS,Searcy,"24,108",96
ARKANSAS,Shannon Hills,"4,743",12
ARKANSAS,Sheridan,"5,268",28
ARKANSAS,Sherwood,"33,223",211
ARKANSAS,Siloam Springs,"19,985",99
ARKANSAS,Smackover,"1,566",3
ARKANSAS,Springdale,"91,630",450
ARKANSAS,Star City,"2,070",20
ARKANSAS,St. Charles,190,0
ARKANSAS,Stuttgart,"7,642",100
ARKANSAS,Swifton,718,0
ARKANSAS,Texarkana,"29,173",240
ARKANSAS,Tontitown,"8,554",11
ARKANSAS,Trumann,"7,367",87
ARKANSAS,Tuckerman,"1,676",3
ARKANSAS,Tyronza,673,0
ARKANSAS,Van Buren,"24,446",116
